s_m_title,HumDockScore,RatDockScore,ChimpDockScore,AVG,bindingClass,P_Act_dockChimp,P_Inact,PredBayes,ratio,cas,casrn,cid,gsid,BindingClass,avgD_Act,avgD_Inact,PredBindingClass,predMLogR,label
87546-18-7,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,87546-18-7,87546-18-7,12554,32554,0,0.8893,0.8937,0.156388568,0,Nonbinders
125-84-8,-8.293676944,-8.432809733,-8.108369742,-8.278285473,0,0.188812963,0.112705371,1,1.675279195,125-84-8,125-84-8,2589,22589,0,0.8836,0.9012,0.320726579,0,Nonbinders
695-06-7,-4.964065441,-4.816134546,-4.833004326,-4.871068104,0,0.02259853,0.169133956,0,0.133613203,695-06-7,695-06-7,21298,41298,0,0.8953,0.9,0.042201681,0,Nonbinders
124-22-1,-4.127151765,-4.792711828,-4.947109442,-4.622324345,0,0.02552764,0.174372188,0,0.146397429,124-22-1,124-22-1,1984,21984,0,0.9463,0.9204,0.001094298,0,Nonbinders
5349-51-9,-7.067286697,-7.631024802,-7.318475766,-7.338929089,0,0.146880978,0.158481792,0,0.926800332,5349-51-9,5349-51-9,20716,40716,0,0.9291,0.9341,0.02683925,0,Nonbinders
121-33-5,-6.297576049,-6.399966181,-6.525802608,-6.407781612,0,0.096635671,0.191033867,0,0.505856225,121-33-5,121-33-5,1969,21969,0,0.8841,0.89,0.070383905,0,Nonbinders
2528-16-7,-10.29361812,-10.23567232,-9.822292108,-10.11719418,0,0.184114808,0.031629009,1,5.821074211,2528-16-7,2528-16-7,23938,43938,0,0.8858,0.8717,0.096874291,0,Nonbinders
98319-26-7,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,98319-26-7,98319-26-7,625,20625,0,0.8947,0.9281,0.521357621,1,Nonbinders
2043-57-4,-7.85603167,0,0,-2.618677223,0,5.40354E-06,0.00241039,0,0.002241769,2043-57-4,2043-57-4,27565,47565,0,0.9759,0.9744,0.008006449,0,Nonbinders
151506-44-4,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,151506-44-4,151506-44-4,28149,48175,0,0.9065,0.9138,0.1155554,0,Nonbinders
219790-72-4,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,219790-72-4,219790-72-4,27324,47324,0,0.9201,0.9218,0.055184687,0,Nonbinders
79-24-3,-0.905017648,-0.938743218,-0.894120705,-0.91262719,0,4.03503E-05,0.008183165,0,0.004930895,79-24-3,79-24-3,969,20969,0,0.9419,0.9253,0.00825316,0,Nonbinders
2610-11-9,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,2610-11-9,2610-11-9,21726,41726,0,0.9072,0.9125,0.100538474,0,Nonbinders
107-30-2,-1.357402455,-1.349706232,-1.625391258,-1.444166648,0,0.000178404,0.019194958,0,0.009294293,107-30-2,107-30-2,307,20307,0,0.9452,0.9329,0.009133109,0,Nonbinders
106-22-9,-5.844282657,-6.179038737,-6.409139343,-6.144153579,0,0.089589215,0.1937979,0,0.462281661,106-22-9,106-22-9,6726,26726,0,0.9472,0.9256,0.001548579,0,Nonbinders
99-86-5,-7.087254409,-7.327347065,-6.931958609,-7.115520028,0,0.122281719,0.17700174,0,0.690850375,99-86-5,99-86-5,21237,41237,0,0.9286,0.9308,0.017698412,0,Nonbinders
107-75-5,0,-5.896353392,-5.745061808,-3.880471733,0,0.054346332,0.197239781,0,0.275534338,107-75-5,107-75-5,22232,42232,0,0.9348,0.922,0.00348779,0,Nonbinders
126-98-7,-2.748476184,-2.705258741,-2.897670032,-2.783801652,0,0.001688426,0.061712821,0,0.027359412,126-98-7,126-98-7,4176,24176,0,0.9651,0.9569,0.004589993,0,Nonbinders
2943-75-1,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,2943-75-1,2943-75-1,9246,29246,0,0.9416,0.924,0.008061814,0,Nonbinders
962-58-3,0,0,-6.690022863,-2.230007621,0,0.106846882,0.186144103,0,0.574000898,962-58-3,962-58-3,17523,37523,0,0.9021,0.8944,0.018357317,0,Nonbinders
90-02-8,-5.791361352,-6.213893872,-6.448919819,-6.151391681,0,0.091969619,0.19292395,0,0.476714367,90-02-8,90-02-8,1792,21792,0,0.899,0.9001,0.032053545,0,Nonbinders
88-60-8,-7.601788724,-8.074326498,-7.277919685,-7.651344969,0,0.144351891,0.160608973,0,0.898778493,88-60-8,88-60-8,6529,26529,0,0.8892,0.903,0.145847963,0,Nonbinders
4437-85-8,-4.362181639,-4.684194435,-4.101891683,-4.382755919,0,0.009534147,0.128867304,0,0.073984219,4437-85-8,4437-85-8,20342,40342,0,0.9009,0.9032,0.040172552,0,Nonbinders
138-22-7,-4.224476634,-4.548889227,-5.191649049,-4.65500497,0,0.032763196,0.184141576,0,0.177923947,138-22-7,138-22-7,22196,42196,0,0.9146,0.8787,0.001446491,0,Nonbinders
4940-11-8,-5.940642159,-5.932176936,-5.797958102,-5.890259066,0,0.056797237,0.197753033,0,0.287212978,4940-11-8,4940-11-8,21516,41516,0,0.885,0.8904,0.054371291,0,Nonbinders
NOCAS_47305,0,-8.199330634,0,-2.733110211,0,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_47305,27305,47305,0,0.8988,0.9136,0.215934319,0,Nonbinders
29232-93-7,-5.440129359,0,-6.037106341,-3.825745233,0,0.068692246,0.198368161,0,0.346286649,29232-93-7,29232-93-7,4266,24266,0,0.911,0.9179,0.028293664,0,Nonbinders
17924-92-4,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,17924-92-4,17924-92-4,1460,21460,0,0.8905,0.9185,0.464256312,0,Nonbinders
6683-19-8,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,6683-19-8,6683-19-8,7633,27633,0,0.8889,0.8882,0.117724683,0,Nonbinders
59-50-7,-6.744270001,-6.860127098,-6.018991921,-6.541129673,0,0.067745994,0.198419797,0,0.341427594,59-50-7,59-50-7,1717,21717,0,0.8712,0.8924,0.210104338,0,Nonbinders
