bindingClass casrn SMILES
1 50-27-1 C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1C[C@@H](O)[C@@H]2O
1 500-38-9 CC(Cc1cc(O)c(O)cc1)C(C)Cc1cc(O)c(O)cc1
1 521-18-6 C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
1 DB06710 CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2(C)O
1 50-28-2 C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@H]2O
1 57-63-6 C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@]2(O)C#C
1 10161-33-8 C[C@]12C=CC3[C@@H](CCC4=CC(=O)CCC4=3)[C@@H]1CC[C@@H]2O
1 797-63-7 CC[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C
1 DB02998 CC12C=CC3C(CCC4=CC(=O)CCC4=3)C1CCC2(C)O
1 DB02901 CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
1 57-91-0 C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@H]2O
1 68-96-2 CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
1 53-16-7 C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CCC2=O
1 2971-36-0 Oc1ccc(cc1)C(c1ccc(O)cc1)C(Cl)(Cl)Cl
1 90357-06-5 CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1cc(c(cc1)C#N)C(F)(F)F
1 84-16-2 CC[C@H]([C@H](CC)c1ccc(O)cc1)c1ccc(O)cc1
1 474-86-2 C[C@]12CC[C@@H]3c4ccc(O)cc4CC=C3[C@@H]1CCC2=O
1 57-83-0 CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
1 520-36-5 Oc1cc(O)cc2OC(=CC(=O)c12)c1ccc(O)cc1
1 63-05-8 C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC2=O
1 DB00621 CC12CCC3C(CCC4CC(=O)OCC43C)C1CCC2(C)O
1 53-43-0 C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O
1 56-53-1 CC/C(/c1ccc(O)cc1)=C(/CC)\c1ccc(O)cc1
1 289716-94-5 CNCc1cc(F)ccc1Oc1cc(Cl)c(Cl)cc1
1 131-55-5 Oc1cc(O)c(cc1)C(=O)c1ccc(O)cc1O
1 5315-79-7 Oc1ccc2ccc3cccc4ccc1c2c34
1 50-22-6 C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@H](CC[C@H]21)C(=O)CO
1 57-85-2 CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
1 DB00858 CC1CC2(C)C3CCC4(C)C(O)CCC4C3CCC2CC1=O
1 97-23-4 Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
1 58-18-4 C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(C)O
1 77-40-7 CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1
1 864283-48-7 NC(=O)CN(CC(F)(F)F)c1cc(c(cc1)C#N)C(F)(F)F
1 DB00367 CCC12CCC3C4CCC(=O)C=C4CCC3C1CCC2(O)C#C
1 80-05-7 CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
