ID casrn SMILES
viira18b 94709-48-5 CC1=CC=C(C=C1)NC1=NC(NC(=N1)NC1=CC=C(C=C1)C)=O
stev4 2084805-91-2 S1C(=NC2=C1C=CC=C2)C=NNC(=O)C=2SC=CC2
stev1 315214-08-5 BrC1=CC=C(S1)C=NNC(=O)C=1OC=CC1
stev2 315206-42-9 BrC1=CC=C(S1)C=NNC(=O)C=1SC=CC1
DeRoy 1-1-1 CC(C)C1=C(O)C(=O)C2=C(CC=C3C(C)(C)CCC[C@]23C)C1=O
Roy 1-1-2 CC(C)C1=C(O)C(=O)C2=C([C@@H]([C@H]([C@@H]3[C@]2(C)CCCC3(C)C)O)OC(=O)C)C1=O
RoyBzCl 1-1-3 CC(C)C1=C(C(=O)C2=C(C1=O)[C@@H]([C@H]([C@@H]1[C@@]2(CCCC1(C)C)C)OC(=O)c1ccc(cc1)Cl)OC(=O)C)OC(=O)c1ccc(cc1)Cl
RoyBz 1-1-4 CC(C)C1=C(C(=O)C2=C(C1=O)[C@@H]([C@H]([C@@H]1[C@@]2(CCCC1(C)C)C)OC(=O)c1ccccc1)OC(=O)C)OC(=O)c1ccccc1
RoyBzPr2 1-1-5 CC(C1=C(C(=O)C2=C(C1=O)[C@@H]([C@H]([C@@H]1[C@]2(C)CCCC1(C)C)OC(=O)CC)OC(=O)C)OC(=O)CC)C
DehidroxyRoy 1-1-6 CC(C)C1=C(C(=O)C2=C([C@@H]([C@H]([C@@H]3[C@@]2(CCCC3(C)C)C)O)O)C1=O)O
ParvD 1-1-7 CC(C)C1=CC2=CC=C3C(C)(C)C[C@@H](C[C@@]3(C2=C(C1=O)O)C)OC(=O)c1ccc(cc1)O
cob_lig 2019197-32-9 N1=C(C=CC=C1)\C=N\NC=1SC=C(N1)C1=CC=C(C=C1)C
theaflavin_2B 28543-07-9 OC=1C=C(C(=O)O[C@H]2[C@H](OC3=C(C2)C(=CC(=C3)O)O)C3=CC(=C(C2=C3C=C(C=C(C2=O)O)[C@H]2OC3=C(C[C@H]2O)C(=CC(=C3)O)O)O)O)C=C(C1O)O
HIVint_cmpd3 4600-71-9 [C@H]1(C[C@H](O)[C@H](O1)CO)N1C=NC2=C1C=C(C(=C2)C)C
HIVint_cmpd4 1635436-97-3 C1=C(C=CC2=C1[C@H](CCCC2)O)O
HIVint_cmpd5 904511-78-0 OCCNC(=O)NC1=C(C2=C(S1)CCC2)C(=O)N
HIVint_cmpd6 1635437-00-1 BrC1=C(C=CC=2OCOC21)C2=NN(C(=C2)N)C
HIVint_cmpd7 66088-55-9 FC1=C(C(=C(C(=C1F)F)F)F)NC(=N)NC(N)=N
HIVint_cmpd8 1029221-51-9 NN=CNNC=C1C=C(C(C=C1)=O)C(=O)O
HIVint_s7 1018232-24-0 c1cc2c(cc1S(=O)(=O)NC[C@@H]3CCCO3)CCCC2
HIVint_s18 533-31-3 O1c2ccc(O)cc2OC1
HIVint_s21 903851-71-8 CCc1nc(NCC(C)O)c(C#N)c2CCCCc12
avflu_x1 500-44-7 N[C@H](C(=O)O)CN1C=C(C(C=C1)=O)O
avflu_x2 28860-95-9 N(N)[C@](C(=O)O)(CC1=CC(=C(C=C1)O)O)C
avflu_x3 14585-60-5 NC[C@@H]1[C@H](C[C@@H](O1)N1C=NC=2C(N)=NC=NC12)O
avflu_x4 1037841-89-6 ClC=1C(=C(C=CC1)N([C@@H](CC(N)=O)C(=O)O)CCO)C
avflu_x5 1075687-05-6 ClC=1C=C(C=CC1)N([C@@H](CC(N)=O)C(=O)O)C[C@@H](C)O
avflu_x6 1075687-08-9 N[C@@H](C(C)C)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)O
avflu_x7 1075687-06-7 OC=1OC=2C(=C(C1)C)C=CC(C2CN[C@@H]([C@@H](O)C)C(=O)O)=O
avflu_x8 1075687-07-8 OC=1OC=2C(=C(C1)C)C=CC(C2CN[C@H]([C@H](O)C)C(=O)O)=O
avflu_x9 1075687-09-0 OC=1OC=2C(=C(C1)C)C=CC(C2CN[C@H]([C@@H](O)C)C(=O)O)=O
avflu_x10 58970-76-6 N[C@@H]([C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)O)CC1=CC=CC=C1
avflu_x11 61046-23-9 N[C@@H]([C@H](C(=O)N[C@@H](CC(C)C)C(=O)O)O)CC1=CC=CC=C1
avflu_x12 208589-53-1 C(C)(=O)N[C@H]1[C@@H](C=C(C[C@@H]1NC=NN)C(=O)O)O[C@@H](CC)C
avflu_x13 1075687-10-3 ClC=1C(=C(C=CC1)N([C@H](CC(N)=O)C(=O)O)C[C@@H](C)O)C
avflu_x14 1075687-11-4 ClC=1C(=C(C=CC1)N([C@@H](CC(N)=O)C(=O)O)C[C@H](C)O)C
avflu_x15 123442-35-3 N[C@H](CC(C)C)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)O
avflu_x16 1047682-40-5 O1C(=CC=C1)CN([C@@H](CC(N)=O)C(=O)O)C1=C(C=CC(=C1)C)O
avflu_x17 1238-09-1 N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)O
avflu_x18 70267-76-4 N[C@@H]([C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)O)CC1=CC=C(C=C1)O
avflu_x19 14289-47-5 C(C1=CC=CC=C1)(=O)NCC(=O)O[C@@H](CCCNC=NN)C(=O)O
