s_sd_Canonical\_QSARr,s_m_title,HumDockScore,RatDockScore,ChimpDockScore,AVG,bindingClass,P_Act_dockChimp,P_Inact,PredBayes,ratio,cas,casrn,cid,gsid,dsstox_substance_id,preferred_name,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,BindingClass,avgD_Act,avgD_Inact,PredBindingClass,predMLogR
Nc1c(Cl)c([n]c(Cl)c1Cl)C(O)=O,1918-02-1,-5.844028316,-7.582837125,-6.858416531,-6.761760657,0,0.117561007,0.180007909,0,0.653088008,1918-02-1,1918-02-1,1160,21160,DTXSID1021160,Picloram,Nc1c(Cl)c([n]c(Cl)c1Cl)C(O)=O,"InChI=1S/C6H3Cl3N2O2/c7-1-3(10)2(8)5(9)11-4(1)6(12)13/h(H2,10,11)(H,12,13)",NQQVFXUMIDALNH-UHFFFAOYSA-N,0,0.9257,0.9215,0.012161589,0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1C[C@@H](O)[C@@H]2O,50-27-1,-12.08682454,-11.4167089,-13.79083039,-12.43145461,1,0.00868218,0.000102376,1,84.80690617,50-27-1,50-27-1,2366,22366,DTXSID9022366,Estriol,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1C[C@@H](O)[C@@H]2O,"InChI=1S/C18H24O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-17,19-21H,2,4,6-7,9H2,1H3/t13-,14-,15+,16-,17+,18+/m1/s1",PROQIPRRNZUXQM-ZXXIGWHRSA-N,1,0.8676,0.9291,0.95757501,1
CC(Cc1cc(O)c(O)cc1)C(C)Cc1cc(O)c(O)cc1,500-38-9,-12.43646669,-12.08548525,-12.80153538,-12.44116244,1,0.027500906,0.000615605,1,44.67297222,500-38-9,500-38-9,2437,22437,DTXSID5022437,Nordihydroguaiaretic acid,CC(Cc1cc(O)c(O)cc1)C(C)Cc1cc(O)c(O)cc1,"InChI=1S/C18H22O4/c1-11(7-13-3-5-15(19)17(21)9-13)12(2)8-14-4-6-16(20)18(22)10-14/h3-6,9-12,19-22H,7-8H2,1-2H3",HCZKYJDFEPMADG-UHFFFAOYSA-N,1,0.8877,0.8946,0.24434273,0
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,521-18-6,-10.23432601,0,-12.38242343,-7.53891648,1,0.041439796,0.001223605,1,33.86697712,521-18-6,521-18-6,2364,22364,DTXSID9022364,5alpha-Dihydrotestosterone,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14-,15-,16-,17-,18-,19-/m0/s1",NVKAWKQGWWIWPM-ABEVXSGRSA-N,1,0.8909,0.9404,0.840148743,1
,DB06710,0,0,-12.00498179,-4.001660595,1,0.057601907,0.002188559,1,26.31955555,,DB06710,,,,,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2(C)O,"InChI=1S/C20H30O2/c1-18-9-6-14(21)12-13(18)4-5-15-16(18)7-10-19(2)17(15)8-11-20(19,3)22/h12,15-17,22H,4-11H2,1-3H3",GCKMFJBGXUYNAG-UHFFFAOYSA-N,1,0.8585,0.9245,0.978790202,1
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@H]2O,50-28-2,-10.56074377,-10.89029224,-11.97908663,-11.14337421,1,0.058836438,0.002274686,1,25.86574449,50-28-2,50-28-2,573,20573,DTXSID0020573,17beta-Estradiol,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@H]2O,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",VOXZDWNPVJITMN-ZBRFXRBCSA-N,1,0.861,0.9286,0.979429958,1
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@]2(O)C#C,57-63-6,-10.8371334,0,-11.97645208,-7.604528491,1,0.058962924,0.002283615,1,25.81999727,57-63-6,57-63-6,576,20576,DTXSID5020576,17alpha-Ethinylestradiol,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@]2(O)C#C,"InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3/t16-,17-,18+,19+,20+/m1/s1",BFPYWIDHMRZLRN-SLHNCBLASA-N,1,0.8652,0.9275,0.966938733,1
O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,63-42-3,-11.55984525,-11.2111192,-11.90413378,-11.55836608,0,0.062498121,0.00254118,1,24.59413363,63-42-3,63-42-3,3193,23193,DTXSID2023193,Lactose,O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6+,7-,8-,9-,10-,11-,12+/m1/s1",GUBGYTABKSRVRQ-DCSYEGIMSA-N,0,0.949,0.95,0.03325338,0
Cc1c(c2ccccc2[n]1CCCCC(O)=O)-c1c[n]ccc1,162706-14-1,-9.867260232,0,-11.86409148,-7.243783905,0,0.064507349,0.002694586,1,23.93961373,162706-14-1,162706-14-1,27309,47309,DTXSID2047309,UK-156819,Cc1c(c2ccccc2[n]1CCCCC(O)=O)-c1c[n]ccc1,"InChI=1S/C19H20N2O2/c1-14-19(15-7-6-11-20-13-15)16-8-2-3-9-17(16)21(14)12-5-4-10-18(22)23/h2-3,6-9,11,13H,4-5,10,12H2,1H3,(H,22,23)",MYDPDVXVDQMNLD-UHFFFAOYSA-N,0,0.8917,0.8906,0.155402674,0
C[C@]12C=CC3[C@@H](CCC4=CC(=O)CCC4=3)[C@@H]1CC[C@@H]2O,10161-33-8,-10.59826425,-10.64605357,-11.58355929,-10.9426257,1,0.079560425,0.004017953,1,19.80123219,10161-33-8,10161-33-8,14192,34192,DTXSID0034192,17beta-Trenbolone,C[C@]12C=CC3[C@@H](CCC4=CC(=O)CCC4=3)[C@@H]1CC[C@@H]2O,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h8-10,15-17,20H,2-7H2,1H3/t15-,16+,17+,18+/m1/s1",MEHHPFQKXOUFFV-OWSLCNJRSA-N,1,0.8867,0.9322,0.835202432,1
