bindingClass casrn SMILES 
0 1918-02-1 Nc1c(Cl)c([n]c(Cl)c1Cl)C(O)=O
1 50-27-1 C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1C[C@@H](O)[C@@H]2O
1 500-38-9 CC(Cc1cc(O)c(O)cc1)C(C)Cc1cc(O)c(O)cc1
1 521-18-6 C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
1 DB06710 CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2(C)O
1 50-28-2 C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@H]2O
1 57-63-6 C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@]2(O)C#C
0 63-42-3 O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
0 162706-14-1 Cc1c(c2ccccc2[n]1CCCCC(O)=O)-c1c[n]ccc1
1 10161-33-8 C[C@]12C=CC3[C@@H](CCC4=CC(=O)CCC4=3)[C@@H]1CC[C@@H]2O
0 520-18-3 Oc1cc(O)cc2OC(c3ccc(O)cc3)=C(O)C(=O)c12
1 797-63-7 CC[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C
1 DB02998 CC12C=CC3C(CCC4=CC(=O)CCC4=3)C1CCC2(C)O
0 117-39-5 Oc1cc2OC(c3cc(O)c(O)cc3)=C(O)C(=O)c2c(O)c1
0 51-24-1 Oc1ccc(cc1I)Oc1c(I)cc(CC(O)=O)cc1I
1 DB02901 CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
0 126-00-1 CC(CCC(O)=O)(c1ccc(O)cc1)c1ccc(O)cc1
1 57-91-0 C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@H]2O
